Date,Close,Dividends,High,Low,Open,Stock Splits,Volume\n
2018-11-12,11.2776355743,0,11.4300361244,11.2148827084,11.4300361244,0,11137200\n
2018-11-13,11.1431655884,0,11.3403891377,11.0086940539,11.2686713279,0,11115600\n
2018-11-14,11.3941783905,0,11.6003668882,11.0086945061,11.0624832931,0,16586500\n
2018-11-15,11.645190239,0,11.7438028684,11.3672839404,11.5376135245,0,16483800\n
2018-11-16,11.6900148392,0,11.9320631035,11.6631208726,11.8244855272,0,12570100\n
2018-11-19,11.7348384857,0,11.8603442311,11.6541557323,11.716908605,0,12769700\n
2018-11-20,11.6810503006,0,11.7975919665,11.5017557588,11.7438040314,0,11900800\n
2018-11-21,12.0665330887,0,12.1472158388,11.8155207534,11.8334497784,0,19771500\n
2018-11-23,11.7348384857,0,12.0575686444,11.672085613,11.9499919248,0,7576300\n
2018-11-26,11.6810503006,0,12.0306752984,11.6272623655,11.8334508749,0,12167700\n
2018-11-27,11.4300374985,0,11.7438035757,11.2866018706,11.7079446687,0,14599100\n
2018-11-28,11.6989803314,0,11.8065570579,11.3403903882,11.4210731468,0,13751400\n
2018-11-29,11.725935936,0.03,11.9146291895,11.725935936,11.8607164641,0,12298400\n
2018-11-30,11.4563751221,0,11.6270971978,11.3575361158,11.5821709221,0,14699700\n
2018-12-03,11.6720237732,0,11.7259365012,11.4114474446,11.6360822402,0,20140300\n
2018-12-04,11.7978181839,0,11.9236139632,11.7349207227,11.7439054622,0,18714500\n
2018-12-06,12.0134677887,0,12.1123067822,11.7798474146,11.842745735,0,21323800\n
2018-12-07,12.292016983,0,12.3998415882,12.1212940489,12.229118654,0,20303800\n
2018-12-10,12.4357824326,0,12.7412858919,12.2740451054,12.3279578334,0,24362300\n
2018-12-11,12.2201328278,0,12.5885337435,12.2111472306,12.5525922117,0,22987500\n
2018-12-12,12.5975189209,0,12.6154892578,12.2470883543,12.2470883543,0,15352200\n
2018-12-13,12.6783866882,0,12.7322994125,12.5256349691,12.5525917597,0,12877600\n
2018-12-14,12.2740459442,0,12.6065053619,12.2381044087,12.4896951573,0,18164000\n
2018-12-17,12.2650585175,0,12.3099856444,11.9954974698,12.2560737776,0,22900800\n
2018-12-18,12.4717235565,0,12.615489684,12.1752057043,12.2111472362,0,25420200\n
2018-12-19,11.5731840134,0,12.5076646675,11.5372424827,12.247088356,0,31816000\n
2018-12-20,12.0224533081,0,12.2201321508,11.8337600621,12.0134677114,0,29865100\n
2018-12-21,11.7888345718,0,12.0673821096,11.743907439,11.9056447743,0,33503900\n
2018-12-24,12.256072998,0,12.3099848614,11.8697009308,11.9056424587,0,9647000\n
2018-12-26,12.2650585175,0,12.4627373617,12.0673805301,12.3459271745,0,13399200\n
2018-12-27,12.3824710846,0.07,12.3915029989,12.0482980086,12.0753928901,0,22747400\n
2018-12-28,11.8496007919,0,12.3011861919,11.7954110263,12.2289325968,0,38261600\n
2018-12-31,12.2289323807,0,12.2740910921,11.4612368698,11.7412201918,0,22695500\n
2019-01-02,11.8315372467,0,12.3644072692,11.7863785366,12.3192494204,0,16483400\n
2019-01-03,11.7412195206,0,12.0482977074,11.5696174604,12.0121709125,0,19135900\n
2019-01-04,11.8225059509,0,11.8947595463,11.43414223,11.6418719626,0,17190100\n
2019-01-07,11.6689653397,0,12.0031383903,11.6418704602,11.9760435109,0,12280400\n
2019-01-08,11.1451272964,0,11.5696177941,11.0186830802,11.5334909982,0,26759600\n
2019-01-09,11.244474411,0,11.3799505252,11.1360940365,11.2535063242,0,15226500\n
2019-01-10,11.163189888,0,11.3257608947,11.1090001267,11.271570272,0,12478800\n
2019-01-11,11.2354450226,0,11.4522066817,11.1541603694,11.2354450226,0,14400600\n
2019-01-14,11.1090011597,0,11.4070474587,11.0728743616,11.3618887459,0,16571500\n
2019-01-15,10.7116041183,0,11.1360945856,10.6212875658,11.063840999,0,15370200\n
2019-01-16,10.7025756836,0,10.7748292879,10.5670995296,10.6574169656,0,10685000\n
2019-01-17,10.7477312088,0,10.8290167113,10.6303197733,10.7116044145,0,8604500\n
2019-01-18,10.6483840942,0,10.765796406,10.5219398674,10.6303211255,0,13766700\n
2019-01-22,10.6393518448,0,10.8199858336,10.40452809,10.7838590358,0,15022400\n
2019-01-23,10.630320549,0,10.7296690252,10.4587176176,10.6212886344,0,9707400\n
2019-01-24,10.7025756836,0,10.7477335403,10.5761314455,10.5941944159,0,11714800\n
2019-01-25,11.0638427734,0,11.0999695725,10.8741768629,10.8741768629,0,13463800\n
2019-01-28,11.1451272964,0,11.3438251045,11.1090005006,11.1902860066,0,12814500\n
2019-01-29,11.6779985428,0,11.7412202222,11.2354442029,11.2806029145,0,18753300\n
2019-01-30,11.7863798141,0,12.0031406123,11.524460301,11.6418726154,0,17994100\n
2019-01-31,12.0934581757,0,12.1024892297,11.7863799442,11.9037922598,0,20388900\n
2019-02-01,11.9670133591,0,12.1024886375,11.7502525691,12.0663618391,0,12580200\n
2019-02-04,12.0573320389,0,12.0844269251,11.7592857064,11.7773486767,0,11307900\n
2019-02-05,12.0663614273,0,12.1024882244,11.8496006447,12.0753933419,0,8722300\n
2019-02-06,11.9579801559,0,12.0934562811,11.8766946531,11.8766946531,0,11835200\n
2019-02-07,12.0482988358,0,12.1295843471,11.894759728,11.9037916429,0,14888700\n
2019-02-08,12.3011856079,0,12.4005340811,12.1024878002,12.1115197145,0,14309700\n
2019-02-11,12.1295843124,0,12.2921544733,12.1295843124,12.2018379087,0,11737300\n
2019-02-12,12.0753927231,0,12.3915028275,12.0392659278,12.2650586134,0,12337100\n
2019-02-13,11.5786495209,0,11.8947596492,11.4070474458,11.7412205425,0,24615400\n
2019-02-14,11.6599359512,0,11.7954121004,11.4883338626,11.5605874643,0,14555300\n
2019-02-15,11.6960601807,0,11.7412188871,11.4702675098,11.6057436291,0,12375800\n
2019-02-19,12.2379655838,0,12.3644089556,11.7683163132,11.822506945,0,22809000\n
2019-02-20,12.4276294708,0,12.6805170344,12.3011852583,12.3553758812,0,28876700\n
2019-02-21,12.0302343369,0,12.3192495679,11.9308858626,12.3192495679,0,22343000\n
2019-02-22,11.7773475647,0,12.0212041017,11.6689671687,11.9670134731,0,19355600\n
2019-02-25,11.3889827728,0,11.849600059,11.3528559775,11.8044413496,0,24918500\n
2019-02-26,11.3709192276,0,11.4160779348,11.0367461726,11.3618873139,0,23533900\n
2019-02-27,11.2896347046,0,11.4251099765,11.1180326361,11.4251099765,0,20619200\n
2019-02-28,11.4160785675,0,11.4341415346,11.2354437288,11.3076981811,0,11025400\n
2019-03-01,11.1180315018,0,11.4251088109,11.0457770546,11.2354429327,0,14306900\n
2019-03-04,11.298666954,0,11.3347937517,11.0006206579,11.081906168,0,13053000\n
2019-03-05,11.4702682495,0,11.4793001636,11.1993168547,11.2083487688,0,11031600\n
2019-03-06,11.1993160248,0,11.4522044339,11.1631892322,11.4522044339,0,13306100\n
2019-03-07,11.4070482254,0,11.4341431104,11.1451287068,11.1541606222,0,12757500\n
2019-03-08,11.6779985428,0,11.7412202222,11.4522058462,11.614776002,0,17763700\n
2019-03-11,11.9037923813,0,12.1837748696,11.750253264,11.9760459822,0,25710900\n
2019-03-12,11.9489488602,0,11.9760446034,11.8044416749,11.8947590964,0,13550500\n
2019-03-13,12.0573320389,0,12.1024898955,11.9308878009,12.0753950093,0,13638400\n
2019-03-14,11.8405685425,0,11.8676642859,11.6689664743,11.7863787784,0,10409800\n
2019-03-15,11.7412195206,0,11.9670122037,11.7141246398,11.9489483756,0,25960200\n
2019-03-18,11.6960601807,0,11.9308847651,11.6509014742,11.7321869736,0,12457600\n
2019-03-19,11.5967121124,0,11.8225047911,11.5605853183,11.7954099108,0,9858800\n
2019-03-20,11.8405685425,0,11.9399178789,11.4160788987,11.5515541703,0,15814900\n
2019-03-21,11.9941082001,0,12.0121720298,11.7412206127,11.8586329222,0,17031300\n
2019-03-22,12.3463449478,0,12.3734398307,11.903791461,11.9399182587,0,22320100\n
2019-03-25,12.8882465363,0,12.9243733305,12.3644067283,12.4185973503,0,28809200\n
2019-03-26,13.0959739685,0,13.1140377943,12.6624524851,12.7256741527,0,21072500\n
2019-03-27,12.8701839447,0,13.1321034432,12.8250252323,13.114040475,0,13092900\n
2019-03-28,12.5360097885,0,12.7347075895,12.4005336627,12.5992314637,0,15918100\n
2019-03-29,12.3824710846,0,12.7166441606,12.3734391703,12.7166441606,0,11198100\n
2019-04-01,12.1386156082,0,12.4366627753,12.0121722429,12.3824721464,0,16590400\n
2019-04-02,12.1566801071,0,12.2469975399,12.0844265055,12.1115213907,0,14418600\n
2019-04-03,12.012172699,0,12.246997331,11.9670139834,12.246997331,0,11674900\n
2019-04-04,12.2469978333,0,12.2560288877,11.7954123814,11.9037927865,0,9906700\n
2019-04-05,12.1837739944,0,12.2469965367,12.1024884839,12.2289327071,0,7054000\n
2019-04-08,12.2108697891,0,12.3915037792,12.1657110763,12.3915037792,0,7690800\n
2019-04-09,12.391503334,0,12.4005343872,12.2199004036,12.2921539971,0,9464400\n
2019-04-10,12.2740926743,0,12.608265804,12.228933957,12.4998853994,0,10914600\n
2019-04-11,12.147649765,0,12.274094015,12.0302374318,12.1566816817,0,11055400\n
2019-04-12,12.1205539703,0,12.2740930976,12.0573322808,12.1837756599,0,11987200\n
2019-04-15,12.3102178574,0,12.3553765687,12.0212034829,12.0392664506,0,12427600\n
2019-04-16,12.0031404495,0,12.237965075,11.921854936,12.2018382758,0,11554700\n
2019-04-17,11.9218540192,0,12.0844250338,11.8315374588,12.0663612049,0,13455900\n
2019-04-18,11.9399185181,0,12.1657112238,11.8405691763,11.9218546882,0,8834600\n
2019-04-22,11.7141256332,0,11.9941081017,11.6870298888,11.9941081017,0,7143700\n
2019-04-23,11.5696172714,0,11.7050925345,11.5154266494,11.6147751182,0,10054800\n
2019-04-24,11.5876808167,0,11.7321880009,11.398014922,11.5425221062,0,8761800\n
2019-04-25,11.5967121124,0,11.7954099108,11.4973627826,11.6057440263,0,14148800\n
2019-04-26,11.7412195206,0,11.8044411962,11.6509021028,11.6960608117,0,6745900\n
2019-04-29,11.4341430664,0,11.7231574689,11.4070481815,11.7050944994,0,9051700\n
2019-04-30,11.4883327484,0,11.6057450551,11.4160791538,11.4341421218,0,13161400\n
2019-05-01,11.3709192276,0,11.6147748682,11.1541584668,11.4702676943,0,22019400\n
2019-05-02,11.298666954,0,11.5334915696,11.2083495292,11.2806031245,0,13998700\n
2019-05-03,11.3709192276,0,11.4883315217,11.289633727,11.4341409008,0,11576700\n
2019-05-06,11.3799533844,0,11.416080185,11.3076997832,11.4070482695,0,6686200\n
2019-05-07,11.4883327484,0,11.5605863431,11.3076987618,11.3889834098,0,12885400\n
2019-05-08,11.3528556824,0,11.7502512818,11.2354433853,11.560585396,0,14912200\n
2019-05-09,11.1722221375,0,11.479300332,11.1631902232,11.379951859,0,10320100\n
2019-05-10,10.8380489349,0,11.2535075119,10.8380489349,11.2083488024,0,14267000\n
2019-05-13,11.1180315018,0,11.1451263811,10.8561120378,10.9464285894,0,14893700\n
2019-05-14,11.2535066605,0,11.3167283322,11.0096501644,11.081904611,0,12208100\n
2019-05-15,11.2896347046,0,11.3980150944,11.1993172824,11.3438253302,0,11132600\n
2019-05-16,11.0006198883,0,11.2264125733,10.9373973508,11.2173806592,0,13565900\n
2019-05-17,11.0367488861,0,11.0819076044,10.8470829584,10.928368479,0,11471500\n
2019-05-20,11.0186843872,0,11.1631915879,10.9735256717,11.0186843872,0,6608300\n
2019-05-21,10.9464321136,0,10.9915908347,10.7657980909,10.9554640301,0,11404500\n
